gene_id,intron_id,intron_uid,chromosome,start,end,strand,supporting_transcripts,anchor_count,exon_overlap_warning,N_retained,N_spliced,N_specific,N_informative,IR_ratio,IR_specificity,species,IR_class
Solyc01g010440.4,Solyc01g010440.4.intron4,Solyc01g010440.4|SL4.0ch01:5372945-5373206:-,SL4.0ch01,5372945,5373206,-,Solyc01g010440.4.1,1,no,3114,846,3046,3960,0.786363636363636,0.978163134232498,Solanum_lycopersicum,high_confidence_IR
Solyc01g010480.3,Solyc01g010480.3.intron3,Solyc01g010480.3|SL4.0ch01:5397380-5397483:-,SL4.0ch01,5397380,5397483,-,Solyc01g010480.3.1,1,no,1950,6165,1430,8115,0.240295748613678,0.733333333333333,Solanum_lycopersicum,high_confidence_IR
Solyc01g010490.4,Solyc01g010490.4.intron1,Solyc01g010490.4|SL4.0ch01:5404445-5404554:-,SL4.0ch01,5404445,5404554,-,Solyc01g010490.4.1,1,no,5,19,5,24,0.208333333333333,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g010780.4,Solyc01g010780.4.intron4,Solyc01g010780.4|SL4.0ch01:5870294-5870365:-,SL4.0ch01,5870294,5870365,-,Solyc01g010780.4.1,1,no,237,515,180,752,0.315159574468085,0.759493670886076,Solanum_lycopersicum,high_confidence_IR
Solyc01g010890.4,Solyc01g010890.4.intron1,Solyc01g010890.4|SL4.0ch01:6375102-6376607:+,SL4.0ch01,6375102,6376607,+,Solyc01g010890.4.1,1,no,87,6,86,93,0.935483870967742,0.988505747126437,Solanum_lycopersicum,high_confidence_IR
Solyc01g014140.3,Solyc01g014140.3.intron1,Solyc01g014140.3|SL4.0ch01:11734694-11734772:+,SL4.0ch01,11734694,11734772,+,Solyc01g014140.3.1,1,no,300,48,300,348,0.862068965517241,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g014270.3,Solyc01g014270.3.intron1,Solyc01g014270.3|SL4.0ch01:11996021-11998783:+,SL4.0ch01,11996021,11998783,+,Solyc01g014270.3.1,1,no,495,679,384,1174,0.421635434412266,0.775757575757576,Solanum_lycopersicum,high_confidence_IR
Solyc01g014320.4,Solyc01g014320.4.intron1,Solyc01g014320.4|SL4.0ch01:12090835-12091099:+,SL4.0ch01,12090835,12091099,+,Solyc01g014320.4.1,1,no,526,55,526,581,0.905335628227194,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g014480.3,Solyc01g014480.3.intron1,Solyc01g014480.3|SL4.0ch01:13997297-13997808:-,SL4.0ch01,13997297,13997808,-,Solyc01g014480.3.1,1,no,983,1134,932,2117,0.464336324988191,0.948118006103764,Solanum_lycopersicum,high_confidence_IR
Solyc01g020372.1,Solyc01g020372.1.intron2,Solyc01g020372.1|SL4.0ch01:29476686-29476784:-,SL4.0ch01,29476686,29476784,-,Solyc01g020372.1.1,1,no,16,27,16,43,0.372093023255814,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g022740.3,Solyc01g022740.3.intron1,Solyc01g022740.3|SL4.0ch01:32862814-32863096:-,SL4.0ch01,32862814,32863096,-,Solyc01g022740.3.1,1,no,113,227,111,340,0.332352941176471,0.982300884955752,Solanum_lycopersicum,high_confidence_IR
Solyc01g028830.3,Solyc01g028830.3.intron1,Solyc01g028830.3|SL4.0ch01:37046786-37047135:+,SL4.0ch01,37046786,37047135,+,Solyc01g028830.3.1,1,no,496,1792,382,2288,0.216783216783217,0.770161290322581,Solanum_lycopersicum,high_confidence_IR
Solyc01g044340.3,Solyc01g044340.3.intron1,Solyc01g044340.3|SL4.0ch01:38613043-38613190:+,SL4.0ch01,38613043,38613190,+,Solyc01g044340.3.1,1,no,1801,77,1801,1878,0.958998935037274,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g049880.3,Solyc01g049880.3.intron3,Solyc01g049880.3|SL4.0ch01:42088499-42089411:-,SL4.0ch01,42088499,42089411,-,Solyc01g049880.3.1,1,no,69,197,49,266,0.259398496240602,0.710144927536232,Solanum_lycopersicum,high_confidence_IR
Solyc01g056600.2,Solyc01g056600.2.intron1,Solyc01g056600.2|SL4.0ch01:48263693-48264008:+,SL4.0ch01,48263693,48264008,+,Solyc01g056600.2.1,1,no,13,18,13,31,0.419354838709677,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g056620.4,Solyc01g056620.4.intron3,Solyc01g056620.4|SL4.0ch01:48294167-48294912:+,SL4.0ch01,48294167,48294912,+,Solyc01g056620.4.1,1,no,92,215,74,307,0.299674267100977,0.804347826086957,Solanum_lycopersicum,high_confidence_IR
Solyc01g056720.4,Solyc01g056720.4.intron1,Solyc01g056720.4|SL4.0ch01:49550568-49550639:-,SL4.0ch01,49550568,49550639,-,Solyc01g056720.4.1,1,no,5465,32,5365,5497,0.994178642896125,0.981701738334858,Solanum_lycopersicum,high_confidence_IR
Solyc01g056790.3,Solyc01g056790.3.intron1,Solyc01g056790.3|SL4.0ch01:49805529-49807166:+,SL4.0ch01,49805529,49807166,+,Solyc01g056790.3.1,1,no,24,77,24,101,0.237623762376238,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g057200.4,Solyc01g057200.4.intron2,Solyc01g057200.4|SL4.0ch01:52956562-52956648:-,SL4.0ch01,52956562,52956648,-,Solyc01g057200.4.1,1,no,1059,5,1025,1064,0.995300751879699,0.967894239848914,Solanum_lycopersicum,high_confidence_IR
Solyc01g057780.3,Solyc01g057780.3.intron1,Solyc01g057780.3|SL4.0ch01:57097182-57097748:-,SL4.0ch01,57097182,57097748,-,Solyc01g057780.3.1,1,no,291,919,239,1210,0.240495867768595,0.821305841924399,Solanum_lycopersicum,high_confidence_IR
Solyc01g057785.1,Solyc01g057785.1.intron1,Solyc01g057785.1|SL4.0ch01:57151829-57152039:-,SL4.0ch01,57151829,57152039,-,Solyc01g057785.1.1,1,no,8,15,8,23,0.347826086956522,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g058010.3,Solyc01g058010.3.intron2,Solyc01g058010.3|SL4.0ch01:58188901-58189237:+,SL4.0ch01,58188901,58189237,+,Solyc01g058010.3.1,1,no,257,981,188,1238,0.207592891760905,0.731517509727626,Solanum_lycopersicum,high_confidence_IR
Solyc01g058170.4,Solyc01g058170.4.intron2,Solyc01g058170.4|SL4.0ch01:58726199-58726619:+,SL4.0ch01,58726199,58726619,+,Solyc01g058170.4.1,1,no,107,57,84,164,0.652439024390244,0.785046728971963,Solanum_lycopersicum,high_confidence_IR
Solyc01g058260.4,Solyc01g058260.4.intron3,Solyc01g058260.4|SL4.0ch01:59098934-59099350:-,SL4.0ch01,59098934,59099350,-,Solyc01g058260.4.1,1,no,8299,1208,7499,9507,0.872935731566214,0.90360284371611,Solanum_lycopersicum,high_confidence_IR
Solyc01g058673.1,Solyc01g058673.1.intron1,Solyc01g058673.1|SL4.0ch01:60766080-60766422:-,SL4.0ch01,60766080,60766422,-,Solyc01g058673.1.1,1,no,67,173,67,240,0.279166666666667,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g060250.2,Solyc01g060250.2.intron1,Solyc01g060250.2|SL4.0ch01:63163859-63165692:+,SL4.0ch01,63163859,63165692,+,Solyc01g060250.2.1,1,no,237,15,237,252,0.94047619047619,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g065740.3,Solyc01g065740.3.intron2,Solyc01g065740.3|SL4.0ch01:65117887-65118280:+,SL4.0ch01,65117887,65118280,+,Solyc01g065740.3.1,1,no,29,60,23,89,0.325842696629214,0.793103448275862,Solanum_lycopersicum,high_confidence_IR
Solyc01g066620.4,Solyc01g066620.4.intron16,Solyc01g066620.4|SL4.0ch01:67533885-67534561:+,SL4.0ch01,67533885,67534561,+,Solyc01g066620.4.1,1,no,10,34,8,44,0.227272727272727,0.8,Solanum_lycopersicum,high_confidence_IR
Solyc01g066880.3,Solyc01g066880.3.intron1,Solyc01g066880.3|SL4.0ch01:67892008-67892092:-,SL4.0ch01,67892008,67892092,-,Solyc01g066880.3.1,1,no,684,704,657,1388,0.492795389048991,0.960526315789474,Solanum_lycopersicum,high_confidence_IR
Solyc01g067120.4,Solyc01g067120.4.intron3,Solyc01g067120.4|SL4.0ch01:68253900-68255472:-,SL4.0ch01,68253900,68255472,-,Solyc01g067120.4.1,1,no,1162,25,944,1187,0.97893850042123,0.812392426850258,Solanum_lycopersicum,high_confidence_IR
Solyc01g067480.4,Solyc01g067480.4.intron15,Solyc01g067480.4|SL4.0ch01:68959647-68959775:+,SL4.0ch01,68959647,68959775,+,Solyc01g067480.4.1,1,no,995,26,818,1021,0.974534769833497,0.822110552763819,Solanum_lycopersicum,high_confidence_IR
Solyc01g067790.3,Solyc01g067790.3.intron1,Solyc01g067790.3|SL4.0ch01:69539326-69539643:+,SL4.0ch01,69539326,69539643,+,Solyc01g067790.3.1,1,no,20,15,14,35,0.571428571428571,0.7,Solanum_lycopersicum,high_confidence_IR
Solyc01g068020.4,Solyc01g068020.4.intron2,Solyc01g068020.4|SL4.0ch01:69838537-69839287:-,SL4.0ch01,69838537,69839287,-,Solyc01g068020.4.1,1,no,467,1378,406,1845,0.253116531165312,0.869379014989293,Solanum_lycopersicum,high_confidence_IR
Solyc01g068140.4,Solyc01g068140.4.intron2,Solyc01g068140.4|SL4.0ch01:70040186-70040307:+,SL4.0ch01,70040186,70040307,+,Solyc01g068140.4.1,1,no,74,233,61,307,0.241042345276873,0.824324324324324,Solanum_lycopersicum,high_confidence_IR
Solyc01g068470.4,Solyc01g068470.4.intron3,Solyc01g068470.4|SL4.0ch01:70505049-70506645:-,SL4.0ch01,70505049,70506645,-,Solyc01g068470.4.1,1,no,152,579,108,731,0.207934336525308,0.710526315789474,Solanum_lycopersicum,high_confidence_IR
Solyc01g079320.4,Solyc01g079320.4.intron2,Solyc01g079320.4|SL4.0ch01:70974063-70974134:-,SL4.0ch01,70974063,70974134,-,Solyc01g079320.4.1,1,no,644,40,610,684,0.941520467836257,0.947204968944099,Solanum_lycopersicum,high_confidence_IR
Solyc01g079360.4,Solyc01g079360.4.intron1,Solyc01g079360.4|SL4.0ch01:71029744-71029945:-,SL4.0ch01,71029744,71029945,-,Solyc01g079360.4.1,1,no,359,1062,306,1421,0.252638986629134,0.852367688022284,Solanum_lycopersicum,high_confidence_IR
Solyc01g079680.3,Solyc01g079680.3.intron1,Solyc01g079680.3|SL4.0ch01:71372156-71373050:+,SL4.0ch01,71372156,71373050,+,Solyc01g079680.3.1,1,no,1200,954,1200,2154,0.557103064066852,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g080040.3,Solyc01g080040.3.intron5,Solyc01g080040.3|SL4.0ch01:71740024-71742848:+,SL4.0ch01,71740024,71742848,+,Solyc01g080040.3.1,1,no,359,469,259,828,0.433574879227053,0.721448467966574,Solanum_lycopersicum,high_confidence_IR
Solyc01g080360.3,Solyc01g080360.3.intron7,Solyc01g080360.3|SL4.0ch01:72188239-72188397:+,SL4.0ch01,72188239,72188397,+,Solyc01g080360.3.1,1,no,1999,1223,1726,3222,0.620422098075729,0.863431715857929,Solanum_lycopersicum,high_confidence_IR
Solyc01g080540.3,Solyc01g080540.3.intron1,Solyc01g080540.3|SL4.0ch01:72366332-72366529:+,SL4.0ch01,72366332,72366529,+,Solyc01g080540.3.1,1,no,1189,2983,1069,4172,0.284995206136146,0.899074852817494,Solanum_lycopersicum,high_confidence_IR
Solyc01g081010.4,Solyc01g081010.4.intron2,Solyc01g081010.4|SL4.0ch01:72893153-72893399:-,SL4.0ch01,72893153,72893399,-,Solyc01g081010.4.1,1,no,30756,11,30499,30767,0.999642474079371,0.991643906879958,Solanum_lycopersicum,high_confidence_IR
Solyc01g081310.3,Solyc01g081310.3.intron1,Solyc01g081310.3|SL4.0ch01:73127226-73127324:+,SL4.0ch01,73127226,73127324,+,Solyc01g081310.3.1,1,no,850,2763,850,3613,0.235261555494049,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g081440.3,Solyc01g081440.3.intron1,Solyc01g081440.3|SL4.0ch01:73235630-73235737:-,SL4.0ch01,73235630,73235737,-,Solyc01g081440.3.1,1,no,1373,59,1178,1432,0.958798882681564,0.857975236707939,Solanum_lycopersicum,high_confidence_IR
Solyc01g081450.3,Solyc01g081450.3.intron1,Solyc01g081450.3|SL4.0ch01:73246499-73246605:-,SL4.0ch01,73246499,73246605,-,Solyc01g081450.3.1,1,no,259,47,257,306,0.84640522875817,0.992277992277992,Solanum_lycopersicum,high_confidence_IR
Solyc01g081640.4,Solyc01g081640.4.intron1,Solyc01g081640.4|SL4.0ch01:73419096-73419179:-,SL4.0ch01,73419096,73419179,-,Solyc01g081640.4.1,1,no,41,142,30,183,0.224043715846995,0.731707317073171,Solanum_lycopersicum,high_confidence_IR
Solyc01g074010.4,Solyc01g074010.4.intron4,Solyc01g074010.4|SL4.0ch01:73770499-73770625:-,SL4.0ch01,73770499,73770625,-,Solyc01g074010.4.1,1,no,905,19,762,924,0.979437229437229,0.841988950276243,Solanum_lycopersicum,high_confidence_IR
Solyc01g086680.4,Solyc01g086680.4.intron1,Solyc01g086680.4|SL4.0ch01:73894124-73894643:+,SL4.0ch01,73894124,73894643,+,Solyc01g086680.4.1,1,no,109,368,109,477,0.228511530398323,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g087000.3,Solyc01g087000.3.intron1,Solyc01g087000.3|SL4.0ch01:74178505-74179476:-,SL4.0ch01,74178505,74179476,-,Solyc01g087000.3.1,1,no,94,14,94,108,0.87037037037037,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g087010.3,Solyc01g087010.3.intron1,Solyc01g087010.3|SL4.0ch01:74184710-74185147:+,SL4.0ch01,74184710,74185147,+,Solyc01g087010.3.1,1,no,31,49,23,80,0.3875,0.741935483870968,Solanum_lycopersicum,high_confidence_IR
Solyc01g088010.1,Solyc01g088010.1.intron1,Solyc01g088010.1|SL4.0ch01:75094109-75094180:+,SL4.0ch01,75094109,75094180,+,Solyc01g088010.1.1,1,no,9,10,9,19,0.473684210526316,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g088150.3,Solyc01g088150.3.intron1,Solyc01g088150.3|SL4.0ch01:75242489-75242563:-,SL4.0ch01,75242489,75242563,-,Solyc01g088150.3.1,1,no,864,789,786,1653,0.522686025408348,0.909722222222222,Solanum_lycopersicum,high_confidence_IR
Solyc01g088270.3,Solyc01g088270.3.intron1,Solyc01g088270.3|SL4.0ch01:75311114-75311267:-,SL4.0ch01,75311114,75311267,-,Solyc01g088270.3.1,1,no,5,6,5,11,0.454545454545455,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g088340.2,Solyc01g088340.2.intron1,Solyc01g088340.2|SL4.0ch01:75361094-75361514:-,SL4.0ch01,75361094,75361514,-,Solyc01g088340.2.1,1,no,42,16,42,58,0.724137931034483,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g088460.3,Solyc01g088460.3.intron1,Solyc01g088460.3|SL4.0ch01:75508563-75509172:+,SL4.0ch01,75508563,75509172,+,Solyc01g088460.3.1,1,no,307,104,307,411,0.746958637469586,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g150146.1,Solyc01g150146.1.intron1,Solyc01g150146.1|SL4.0ch01:75524788-75525056:+,SL4.0ch01,75524788,75525056,+,Solyc01g150146.1.1,1,no,1238,3214,1096,4452,0.278077268643306,0.88529886914378,Solanum_lycopersicum,high_confidence_IR
Solyc01g088560.3,Solyc01g088560.3.intron6,Solyc01g088560.3|SL4.0ch01:75581270-75581395:-,SL4.0ch01,75581270,75581395,-,Solyc01g088560.3.1,1,no,12740,197,12071,12937,0.984772358352014,0.947488226059655,Solanum_lycopersicum,high_confidence_IR
Solyc01g088650.4,Solyc01g088650.4.intron1,Solyc01g088650.4|SL4.0ch01:75662508-75662600:-,SL4.0ch01,75662508,75662600,-,Solyc01g088650.4.1,1,no,1403,163,1134,1566,0.895913154533844,0.808267997148966,Solanum_lycopersicum,high_confidence_IR
Solyc01g088790.2,Solyc01g088790.2.intron1,Solyc01g088790.2|SL4.0ch01:75778089-75778160:+,SL4.0ch01,75778089,75778160,+,Solyc01g088790.2.1,1,no,20,31,18,51,0.392156862745098,0.9,Solanum_lycopersicum,high_confidence_IR
Solyc01g088810.4,Solyc01g088810.4.intron2,Solyc01g088810.4|SL4.0ch01:75791174-75791305:+,SL4.0ch01,75791174,75791305,+,Solyc01g088810.4.1,1,no,55,145,45,200,0.275,0.818181818181818,Solanum_lycopersicum,high_confidence_IR
Solyc01g089950.3,Solyc01g089950.3.intron2,Solyc01g089950.3|SL4.0ch01:75891971-75892854:+,SL4.0ch01,75891971,75892854,+,Solyc01g089950.3.1,1,no,42,80,38,122,0.344262295081967,0.904761904761905,Solanum_lycopersicum,high_confidence_IR
Solyc01g090050.4,Solyc01g090050.4.intron1,Solyc01g090050.4|SL4.0ch01:75974798-75974885:-,SL4.0ch01,75974798,75974885,-,Solyc01g090050.4.1,1,no,310,178,310,488,0.635245901639344,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g090060.1,Solyc01g090060.1.intron1,Solyc01g090060.1|SL4.0ch01:75976313-75977182:+,SL4.0ch01,75976313,75977182,+,Solyc01g090060.1.1,1,no,129,8,129,137,0.941605839416058,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g090090.3,Solyc01g090090.3.intron1,Solyc01g090090.3|SL4.0ch01:75986111-75987002:-,SL4.0ch01,75986111,75987002,-,Solyc01g090090.3.1,1,no,254,18,250,272,0.933823529411765,0.984251968503937,Solanum_lycopersicum,high_confidence_IR
Solyc01g090290.4,Solyc01g090290.4.intron7,Solyc01g090290.4|SL4.0ch01:76200567-76200885:+,SL4.0ch01,76200567,76200885,+,Solyc01g090290.4.1,1,no,1637,3138,1365,4775,0.34282722513089,0.833842394624313,Solanum_lycopersicum,high_confidence_IR
Solyc01g090480.4,Solyc01g090480.4.intron10,Solyc01g090480.4|SL4.0ch01:76398480-76398625:-,SL4.0ch01,76398480,76398625,-,Solyc01g090480.4.1,1,no,713,1797,571,2510,0.28406374501992,0.800841514726508,Solanum_lycopersicum,high_confidence_IR
Solyc01g090515.1,Solyc01g090515.1.intron1,Solyc01g090515.1|SL4.0ch01:76417110-76417673:+,SL4.0ch01,76417110,76417673,+,Solyc01g090515.1.1,1,no,37,103,37,140,0.264285714285714,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g090630.4,Solyc01g090630.4.intron1,Solyc01g090630.4|SL4.0ch01:76522044-76522686:+,SL4.0ch01,76522044,76522686,+,Solyc01g090630.4.1,1,no,198,676,143,874,0.226544622425629,0.722222222222222,Solanum_lycopersicum,high_confidence_IR
Solyc01g090790.4,Solyc01g090790.4.intron3,Solyc01g090790.4|SL4.0ch01:76714747-76715055:-,SL4.0ch01,76714747,76715055,-,Solyc01g090790.4.1,1,no,897,3483,771,4380,0.204794520547945,0.859531772575251,Solanum_lycopersicum,high_confidence_IR
Solyc01g091130.4,Solyc01g091130.4.intron3,Solyc01g091130.4|SL4.0ch01:77078709-77078962:-,SL4.0ch01,77078709,77078962,-,Solyc01g091130.4.1,1,no,1806,5,1757,1811,0.997239094422971,0.972868217054264,Solanum_lycopersicum,high_confidence_IR
Solyc01g091170.3,Solyc01g091170.3.intron1,Solyc01g091170.3|SL4.0ch01:77107163-77107263:+,SL4.0ch01,77107163,77107263,+,Solyc01g091170.3.1,1,no,3117,7764,2733,10881,0.286462641301351,0.876804619826757,Solanum_lycopersicum,high_confidence_IR
Solyc01g091570.3,Solyc01g091570.3.intron2,Solyc01g091570.3|SL4.0ch01:77416096-77416241:+,SL4.0ch01,77416096,77416241,+,Solyc01g091570.3.1,1,no,1037,2912,846,3949,0.262598126107875,0.815814850530376,Solanum_lycopersicum,high_confidence_IR
Solyc01g094510.2,Solyc01g094510.2.intron1,Solyc01g094510.2|SL4.0ch01:78218468-78219029:+,SL4.0ch01,78218468,78219029,+,Solyc01g094510.2.1,1,no,96,15,96,111,0.864864864864865,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g094540.4,Solyc01g094540.4.intron1,Solyc01g094540.4|SL4.0ch01:78231887-78233835:-,SL4.0ch01,78231887,78233835,-,Solyc01g094540.4.1,1,no,1043,5,1043,1048,0.995229007633588,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g094560.4,Solyc01g094560.4.intron2,Solyc01g094560.4|SL4.0ch01:78250190-78251723:-,SL4.0ch01,78250190,78251723,-,Solyc01g094560.4.1,1,no,5933,23,5781,5956,0.996138347884486,0.97438058317883,Solanum_lycopersicum,high_confidence_IR
Solyc01g094630.3,Solyc01g094630.3.intron1,Solyc01g094630.3|SL4.0ch01:78326252-78330954:+,SL4.0ch01,78326252,78330954,+,Solyc01g094630.3.1,1,no,630,777,559,1407,0.447761194029851,0.887301587301587,Solanum_lycopersicum,high_confidence_IR
Solyc01g094770.4,Solyc01g094770.4.intron2,Solyc01g094770.4|SL4.0ch01:78447675-78447785:-,SL4.0ch01,78447675,78447785,-,Solyc01g094770.4.1,1,no,5433,3088,4900,8521,0.637601220514024,0.90189582182956,Solanum_lycopersicum,high_confidence_IR
Solyc01g094780.4,Solyc01g094780.4.intron3,Solyc01g094780.4|SL4.0ch01:78451046-78451132:-,SL4.0ch01,78451046,78451132,-,Solyc01g094780.4.1,1,no,121,55,97,176,0.6875,0.801652892561983,Solanum_lycopersicum,high_confidence_IR
Solyc01g094800.4,Solyc01g094800.4.intron1,Solyc01g094800.4|SL4.0ch01:78469831-78469983:+,SL4.0ch01,78469831,78469983,+,Solyc01g094800.4.1,1,no,178,29,128,207,0.859903381642512,0.719101123595506,Solanum_lycopersicum,high_confidence_IR
Solyc01g095490.3,Solyc01g095490.3.intron1,Solyc01g095490.3|SL4.0ch01:78994053-78994141:+,SL4.0ch01,78994053,78994141,+,Solyc01g095490.3.1,1,no,787,1511,769,2298,0.342471714534378,0.97712833545108,Solanum_lycopersicum,high_confidence_IR
Solyc01g095560.3,Solyc01g095560.3.intron1,Solyc01g095560.3|SL4.0ch01:79036651-79036745:+,SL4.0ch01,79036651,79036745,+,Solyc01g095560.3.1,1,no,56,215,56,271,0.206642066420664,1,Solanum_lycopersicum,high_confidence_IR
Solyc01g095590.3,Solyc01g095590.3.intron2,Solyc01g095590.3|SL4.0ch01:79071644-79071739:+,SL4.0ch01,79071644,79071739,+,Solyc01g095590.3.1,1,no,674,584,540,1258,0.53577106518283,0.801186943620178,Solanum_lycopersicum,high_confidence_IR
